# Every PPL name in HP's help, and those added since, as data.
# Generated by tests/names_extract.py from HP's Command Tree 13217, the 2.1.14181
# commands list and the 2.4.15515 release notes. Names, menus and syntax only.
# name	kind	group	menu	syntax	source
BEGIN	statement	block	Program Tmplt Block	BEGIN commands; END;	2.1.14181
KILL	statement	block	Program Tmplt Block	KILL;	13217
RETURN	statement	block	Program Tmplt Block	RETURN expression;	13217
CASE	statement	branch	Program Tmplt Branch	CASE	13217
IF	statement	branch	Program Tmplt Branch	IF test THEN commands1 [ELSE commands2] END;	2.1.14181
IFERR	statement	branch	Program Tmplt Branch	IFERR commands1 THEN commands2 [ELSE commands3] END;	13217
KEY	statement	function	Program Tmplt Function	KEY name	13217
BREAK	statement	loop	Program Tmplt Loop	BREAK [n];	13217
CONTINUE	statement	loop	Program Tmplt Loop	CONTINUE [n];	13217
FOR	statement	loop	Program Tmplt Loop	FOR var FROM start TO (or DOWNTO) finish [STEP increment] DO commands END;	2.1.14181
REPEAT	statement	loop	Program Tmplt Loop	REPEAT commands UNTIL test;	13217
WHILE	statement	loop	Program Tmplt Loop	WHILE test DO commands END;	13217
EXPORT	statement	variable	Program Tmplt Variable / Program Tmplt Function	EXPORT FunctionName(Parameters)	13217
LOCAL	statement	variable	Program Tmplt Variable	LOCAL Var1[:=Val1, Var2:=Val2, ... Var8:=Val8];	13217
DO	keyword				2.1.14181
ELSE	keyword				2.1.14181
END	keyword				13217
STEP	keyword				2.1.14181
THEN	keyword				2.1.14181
TO	keyword				2.1.14181
UNTIL	keyword				2.1.14181
(	operator				2.1.14181
*	operator				2.1.14181
+	operator				13217
-	operator				13217
.	operator				13217
.*	operator				13217
.+	operator				13217
.-	operator				13217
./	operator				13217
.^	operator				13217
/	operator				2.1.14181
:=	operator				13217
<	operator				13217
<=	operator				2.1.14181
<>	operator				2.1.14181
=	operator				13217
==	operator				13217
>	operator				13217
>=	operator				2.1.14181
^	operator				2.1.14181
AND	operator				13217
NOT	operator			NOT Value	13217
OR	operator				13217
XOR	operator				13217
STARTAPP	command	app	Program Cmds App Functions	STARTAPP("AppName")	13217
STARTVIEW	command	app	Program Cmds App Functions	STARTVIEW(ViewNumber[,Redraw])	13217
VIEW	command	app	Program Cmds App Functions / Program Tmplt Function	VIEW "Text" Function()	13217
