# What the Virtual Calculator answered to the documentation's examples.
# Written by `hpprime examples`; not edited by hand. One row per call.
# entry	call	answer	type	firmware	date
!	RETURN 5!;	120	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
%	%(100,25)	25	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
%CHANGE	%CHANGE(20,25)	25	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
%TOTAL	%TOTAL(20,5)	25	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-12
AAS	EXPR("AAS(30,60,10)")	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-13
AAS	EXPR("AAS(40,60,10)")	{13.4729635533,15.3208888624,80}	6	Virtual Calculator 2.4, build 2025-09-15	2026-09-14
ABS	ABS(-3.14)	3.14	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ABS	ABS([[1,2],[3,4]])	5.47722557505	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
abscissa	EXPR("abscissa(point(3,4))")	3	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
Accrued	EXPR("Accrued")	0	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-15
ACOS	ACOS(0.5)	1.0471975512	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ACOSH	ACOSH(2)	1.31695789692	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ACOT	ACOT(1)	0.785398163397	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ACSC	ACSC(2)	0.523598775598	0	Virtual Calculator 2.4, build 2025-09-15	2026-09-13
ADDCOL	ADDCOL([[1,2],[3,4]],[[5],[6]],3)	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-12
ADDCOL	ADDCOL([[1,2],[3,4]],{5,6},2)	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-12
ADDCOL	ADDCOL([[1,2],[3,4]],{5,6},3)	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-12
ADDCOL	ADDCOL({5,6},[[1,2],[3,4]],3)	*error*		Virtual Calculator 2.4, build 2025-09-15	2026-09-12
